Species,CAS,YSI,SMILES
Acrolein dimethyl acetal,6044-68-4,15.5,C=CC(OC)OC
Acrolein diethyl acetal,3054-95-3,26.6,C=CC(OCC)OCC
dibutoxymethane,2568-90-3,47.7,CCCCOCOCCCC
"DL-1,2-isopropylideneglycerol",100-79-8,18.7,CC1(C)OCC(CO)O1
"2-methyl-1,3-dioxolane",497-26-7,11.1,CC1OCCO1
"2,2-dimethyl-1,3-dioxolane",2916-31-6,17.4,CC1(C)OCCO1
"2,2,4-trimethyl-1,3-dioxolane",1193-11-9,25.6,CC1COC(C)(C)O1
"2‐ethyl‐2‐methyl‐1,3‐dioxolane",126-39-6,21.1,CCC1(C)OCCO1
"4,5‐dimethyl‐2‐(pentan‐3‐yl)‐1,3‐dioxolane",,57.8,CCC(CC)C1OC(C)C(C)O1
"2‐(heptan‐3‐yl)‐4,5‐dimethyl‐1,3‐dioxolane",61732-91-0,68.5,CCCCC(CC)C1OC(C)C(C)O1
"4,5‐dimethyl‐2‐propyl‐1,3‐dioxolane",6414-34-2,36.5,CCCC1OC(C)C(C)O1
"4,5‐dimethyl‐2‐pentyl‐1,3‐dioxolane",155639-75-1,48.7,CCCCCC1OC(C)C(C)O1
"2‐heptyl‐4,5‐dimethyl‐1,3‐dioxolane",61732-90-9,63.2,CCCCCCCC1OC(C)C(C)O1
"1,1‐diethoxyhexane",3658-93-3,42.9,CCCCCC(OCC)OCC
"1,1‐diethoxyoctane",5660-81-1,59.6,CCCCCCCC(OCC)OCC
